sex,child_age,at_work
male,0,0.8806910579275505
male,1,0.8905261379128477
male,2,0.8883471970925911
male,3,0.8853253149772238
male,4,0.8825783450755676
male,5,0.8884050970057509
male,6,0.8874626431051004
male,7,0.8876021533388085
male,8,0.8873851510433447
male,9,0.8903017298310264
male,10,0.8861485704947163
male,11,0.8843298683128201
male,12,0.8857718426919503
male,13,0.8845819822602589
male,14,0.8830748925412519
male,15,0.8769523644554154
male,16,0.869307412230216
male,17,0.8698892800084693
male,18,0.858511956541084
female,0,0.46462538310110646
female,1,0.5685305494285433
female,2,0.5777373560646972
female,3,0.5927187859115145
female,4,0.6085996772586437
female,5,0.6211959383060778
female,6,0.6448521262029929
female,7,0.6495463491868328
female,8,0.6652987931225943
female,9,0.674613150615779
female,10,0.67748637235981235
female,11,0.6858702806305694
female,12,0.6962297828880882
female,13,0.706666124010525
female,14,0.7182851330513927
female,15,0.7247387237584368
female,16,0.7271229282842432
female,17,0.7364465806308927
female,18,0.7298734469529738
